condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,1.790100000000e-06,1.790100e+00,2.630631406941e-05,26.306314,7.401881,0.144410530,521.808117,2.076842e+05,207.684,23.693686
T=255K,1.800100000000e-06,1.800100e+00,2.638013168658e-05,26.380132,7.381762,0.145636418,521.062859,2.076842e+05,207.684,23.619868
T=255K,1.810100000000e-06,1.810100e+00,2.645374999516e-05,26.453750,7.361831,0.146865864,520.315439,2.076842e+05,207.684,23.546250
T=255K,1.820100000000e-06,1.820100e+00,2.652717085414e-05,26.527171,7.342086,0.148098862,519.565859,2.076842e+05,207.684,23.472829
T=255K,1.830100000000e-06,1.830100e+00,2.660039609751e-05,26.600396,7.322524,0.149335407,518.814123,2.076842e+05,207.684,23.399604
T=255K,1.840100000000e-06,1.840100e+00,2.667342753481e-05,26.673428,7.303144,0.150575494,518.060233,2.076842e+05,207.684,23.326572
T=255K,1.850100000000e-06,1.850100e+00,2.674626695150e-05,26.746267,7.283942,0.151819118,517.304194,2.076842e+05,207.684,23.253733
T=255K,1.860100000000e-06,1.860100e+00,2.681891610948e-05,26.818916,7.264916,0.153066274,516.546007,2.076842e+05,207.684,23.181084
T=255K,1.870100000000e-06,1.870100e+00,2.689137674752e-05,26.891377,7.246064,0.154316958,515.785675,2.076842e+05,207.684,23.108623
T=255K,1.880100000000e-06,1.880100e+00,2.696365058165e-05,26.963651,7.227383,0.155571163,515.023203,2.076842e+05,207.684,23.036349
T=255K,1.890100000000e-06,1.890100e+00,2.703573930563e-05,27.035739,7.208872,0.156828886,514.258592,2.076842e+05,207.684,22.964261
